name,label,scientific_name,common_name,lifeform,woody,fia_spcd,notes
PHLE4,PHLE4 Mountain heather,Phyllodoce breweri,Purple mountainheath,shrub,1,,
ERCA6,ERCA6 Sulphur buckwheat,Eriogonum umbellatum,Sulphur-flower buckwheat,shrub,1,,Subshrub
WYMO,WYMO Mule ears,Wyethia mollis,Woolly mule-ears,forb,0,,
LUPIN,LUPIN Lupine spp.,Lupinus spp.,Lupine,forb,0,,
ACMI2,ACMI2 Yarrow,Achillea millefolium,Common yarrow,forb,0,,
PTAQ,PTAQ Bracken fern,Pteridium aquilinum,Western brackenfern,fern,0,,
CARO5,CARO5 Ross sedge,Carex rossii,Ross sedge,graminoid,0,,
CAREX,CAREX Sedge spp.,Carex spp.,Sedge,graminoid,0,,
ELEL5,ELEL5 Squirreltail,Elymus elymoides,Squirreltail,graminoid,0,,
POA,POA Bluegrass spp.,Poa spp.,Bluegrass,graminoid,0,,
BRTE,BRTE Cheatgrass,Bromus tectorum,Cheatgrass,graminoid,0,,Nonnative
UNKCNF,UNKCNF Unknown conifer,Unknown conifer,Unknown conifer,tree,1,299,TEON code
UNKTRE,UNKTRE Unknown tree,Unknown tree,Unknown tree,tree,1,999,TEON code
UNKHDW,UNKHDW Unknown hardwood,Unknown hardwood,Unknown hardwood,tree,1,998,TEON code
UNKSHR,UNKSHR Unknown shrub,Unknown shrub,Unknown shrub,shrub,1,,TEON code
UNKGRA,UNKGRA Unknown graminoid,Unknown graminoid,Unknown graminoid,graminoid,0,,TEON code
UNKHRB,UNKHRB Unknown herbaceous,Unknown herbaceous plant,Unknown herbaceous,forb,0,,TEON code
XXXX,XXXX None present,No species,None present,none,1,,TEON code for an empty repeat
